Дата операции,Референс проводки,Приход,Расход
5/9/2022 18:00,HOLD,0,1393
5/9/2022 13:00,HOLD,0,1844.19
5/9/2022 8:00,HOLD,0,456
5/8/2022 18:00,HOLD,0,2000
5/8/2022 13:00,HOLD,0,550
5/8/2022 8:00,HOLD,0,915
5/7/2022 20:51,HOLD,0,763.61
5/7/2022 18:42,HOLD,0,2680
5/7/2022 16:34,HOLD,0,620
5/7/2022 14:25,HOLD,0,279.2
5/7/2022 12:17,HOLD,0,200
5/7/2022 10:08,HOLD,0,5569
5/7/2022 8:00,C070705220041835,0,200
5/6/2022 20:00,CRD_97K2R9,0,475
5/6/2022 17:00,CRD_1Z96N5,0,3888
5/6/2022 14:00,HOLD,0,444
5/6/2022 11:00,MOYB 06205000414,0,99
5/6/2022 8:00,C190605220051133,1000,0
5/5/2022 21:20,B010505220429769,0,30000
5/5/2022 19:40,OP1ED22550025M43,0,38921.67
5/5/2022 18:00,OP1ED22550024REU,129738.91,0
5/5/2022 16:20,OP1ED22550025M1X,0,522
5/5/2022 14:40,OP1ED22550024RER,1740,0
5/5/2022 13:00,CRD_4F91F0,0,1871
5/5/2022 11:20,CRD_55N0K0,0,1527.66
5/5/2022 9:40,B010505220242134,3000,0
5/5/2022 8:00,CRD_55N0K0',0,1527.66
5/4/2022 20:00,CRD_17T52N,0,120
5/4/2022 17:00,C160405220316270,0,571
5/4/2022 14:00,C160405220153950,0,1000
5/4/2022 11:00,B010405220103897,2000,0
5/4/2022 8:00,C160405220153950',0,1000
5/3/2022 19:15,CRD_9KU80A,0,40.46
5/3/2022 15:30,CRD_8KB4W8,0,1171.27
5/3/2022 11:45,CRD_74T37A,0,1000
5/3/2022 8:00,C160305220025100,0,260
5/2/2022 21:55,CRD_8ER0VZ,0,250
5/2/2022 20:51,B010205220185528,3000,0
5/2/2022 19:47,CRD_8ER0VZ',0,250
5/2/2022 18:42,CRD_31X6WY,0,2000
5/2/2022 17:38,CRD_2FV0VZ,0,1630
5/2/2022 16:34,B010205220172358,3000,0
5/2/2022 15:30,CRD_2FV0VZ',0,1630
5/2/2022 14:25,CRD_5NX0T2,0,1955
5/2/2022 13:21,CRD_4FW5XY,0,1055
5/2/2022 12:17,CRD_3V32Y2,0,2365.77
5/2/2022 11:12,B010205220062061,5000,0
5/2/2022 10:08,CRD_3V32Y2',0,2365.77
5/2/2022 9:04,CRD_3VY1U0,0,1970
5/2/2022 8:00,A020205220002402,0,1000
5/1/2022 20:30,CRD_8U781N,0,41
5/1/2022 18:00,CRD_5C049U,0,35159.9
5/1/2022 15:30,CRD_3R087T,0,55
5/1/2022 13:00,C170105220148573,35000,0
5/1/2022 10:30,CRD_5C049U',0,35159.9
5/1/2022 8:00,A010105220061624,0,350
4/30/2022 19:15,CRD_9N82RH,0,888.5
4/30/2022 15:30,CRD_5NW6NH,0,120
4/30/2022 11:45,CRD_4ZW9T8,0,2000
4/30/2022 8:00,CRD_9CR4HH,0,655
4/29/2022 19:15,CRD_7NE5WW,0,320
4/29/2022 15:30,CRD_23T4WW,0,388.45
4/29/2022 11:45,CRD_89B8X2,0,160
4/29/2022 8:00,C162904220053370,0,1900
4/28/2022 19:15,CRD_41F8US,0,920.77
4/28/2022 15:30,CRD_64173N,0,470
4/28/2022 11:45,CRD_54K7AH,0,160
4/28/2022 8:00,A012804220101324,0,350
4/27/2022 19:15,CRD_79T2A6,0,400
4/27/2022 15:30,CRD_7V98S6,0,1455
4/27/2022 11:45,CRD_2NE5T6,0,1216.82
4/27/2022 8:00,C162704220071886,0,2300
4/26/2022 19:15,CRD_7617BY,0,153
4/26/2022 15:30,CRD_6ZS8VV,0,160
4/26/2022 11:45,CRD_55F5N3,0,199.2
4/26/2022 8:00,MOYB 26204000025,0,9
4/25/2022 20:30,CRD_2U21KN,0,1746.6
4/25/2022 18:00,CRD_1N335H,0,1253.67
4/25/2022 15:30,CRD_2TN45N,0,400
4/25/2022 13:00,C162504220374936,0,253
4/25/2022 10:30,C022504220010407,0,38000
4/25/2022 8:00,C072504220092623,0,400
4/24/2022 19:15,CRD_6EW95B,0,3438.2
4/24/2022 15:30,CRD_44281C,0,1974
4/24/2022 11:45,CRD_33102C,0,70
4/24/2022 8:00,C162404220037285,0,200
4/23/2022 18:00,CRD_3761FY,0,1306.68
4/23/2022 13:00,CRD_2H04H3,0,1820
4/23/2022 8:00,CRD_17A0W0,0,7400
4/22/2022 21:30,CRD_93M5NS,0,1435.67
4/22/2022 20:00,CRD_8BB6CM,0,1000
4/22/2022 18:30,CRD_60B0RR,0,60
4/22/2022 17:00,CRD_3T72RS,0,238
4/22/2022 15:30,CRD_2KX2NN,0,100
4/22/2022 14:00,CRD_2BV9EM,0,720
4/22/2022 12:30,CRD_1RY7FN,0,70
4/22/2022 11:00,C172204220078484,350,0
4/22/2022 9:30,C162204220159139,0,3650
4/22/2022 8:00,A012204220023813,0,1000
4/21/2022 18:00,CRD_85X3UB,0,876.08
4/21/2022 13:00,CRD_5VW1VB,0,600
4/21/2022 8:00,CRD_61W0K6,0,100
4/20/2022 21:07,CRD_8V15C1,0,1062.6
4/20/2022 19:15,CRD_7YF2EY,0,540
4/20/2022 17:22,CRD_6T46ZV,0,299
4/20/2022 15:30,C162004220371856,0,220
4/20/2022 13:37,A012004220109832,0,1000
4/20/2022 11:45,OP1ED224K0011DDG,0,37200
4/20/2022 9:52,OP1ED224K000XXPS,124000,0
4/20/2022 8:00,A012004220093046,0,1000
4/19/2022 20:30,CRD_6VV9VF,0,140
4/19/2022 18:00,CRD_6R255S,0,54.5
4/19/2022 15:30,CRD_28R35S,0,999.25
4/19/2022 13:00,CRD_39V98K,0,180
4/19/2022 10:30,C171904220181932,5000,0
4/19/2022 8:00,CRD_28R35S',0,999.25
4/18/2022 20:30,CRD_48017A,0,2734.62
4/18/2022 18:00,CRD_8W93ZA,0,750
4/18/2022 15:30,CRD_1H49RB,0,855.8
4/18/2022 13:00,C161804220331954,0,450
4/18/2022 10:30,C171804220137821,5000,0
4/18/2022 8:00,C161804220331954',0,450
4/16/2022 18:00,CRD_9NA7SM,0,1752.18
4/16/2022 13:00,B011604220110221,1597.52,0
4/16/2022 8:00,CRD_9NA7SM',0,1752.18
